parent_code(父级物料编码);code(物料编码);relationship(父子级物料之间的关系);name(物料名称);type(物料类型);quantity(物料数量);relationshipProperties(关系扩展属性);properties(节点扩展属性)
null;PTQC001;null;汽车;成品（产品）;1;{};{}
PTQC001;PTQC002;装配;车身;半成品（中间产品）;1;{};{}
PTQC002;TYQC001;焊接;车架;半成品（中间产品）;1;{};{}
PTQC002;TYQC002;焊接;外壳和车身板;半成品（中间产品）;1;{};{}
PTQC001;PTQC003;装配;内部构造;半成品（中间产品）;1;{};{}
PTQC003;PTQC008;组装;引擎;半成品（中间产品）;1;{};{}
PTQC008;PTQC009;组装;缸体;半成品（中间产品）;1;{};{}
PTQC008;PTQC010;组装;活塞;零部件（原材料）;1;{};{"直径":"80mm"}
PTQC008;PTQC011;组装;曲轴;零部件（原材料）;1;{};{}
PTQC003;TYQC003;组装;传动系统;半成品（中间产品）;1;{};{}
TYQC003;TYQC004;组装;变速器;半成品（中间产品）;1;{};{}
TYQC003;TYQC005;组装;驱动轴;半成品（中间产品）;1;{};{}
PTQC003;TYQC006;组装;制动系统;半成品（中间产品）;1;{};{}
TYQC006;TYQC007;组装;刹车盘;半成品（中间产品）;1;{};{}
TYQC006;TYQC008;组装;刹车垫;半成品（中间产品）;1;{};{}
PTQC003;TYQC009;组装;悬挂系统;半成品（中间产品）;1;{};{}
TYQC009;TYQC010;组装;前悬挂;半成品（中间产品）;1;{};{}
TYQC009;TYQC011;组装;后悬挂;半成品（中间产品）;1;{};{}
PTQC003;TYQC012;组装;轮胎和轮毂;半成品（中间产品）;1;{};{}
PTQC001;PTQC004;装配;控制系统;半成品（中间产品）;1;{};{}
PTQC004;PTQC012;组装;电子控制单元（ECU）;半成品（中间产品）;1;{};{}
PTQC004;PTQC013;组装;传感器;半成品（中间产品）;1;{};{}
PTQC001;PTQC005;装配;内部设施;半成品（中间产品）;1;{};{}
PTQC005;TYQC013;组装;座椅;半成品（中间产品）;1;{};{}
PTQC005;TYQC014;组装;方向盘;半成品（中间产品）;1;{};{}
PTQC005;TYQC015;组装;仪表板;半成品（中间产品）;1;{};{}
PTQC001;PTQC006;装配;电气系统;半成品（中间产品）;1;{};{}
PTQC006;PTQC014;组装;电池;零部件（原材料）;1;{};{}
PTQC006;PTQC015;组装;发电机;半成品（中间产品）;1;{};{}
PTQC006;TYQC016;组装;车灯和信号灯;半成品（中间产品）;1;{};{}
PTQC001;PTQC007;装配;冷却系统;半成品（中间产品）;1;{};{}
PTQC007;TYQC017;组装;散热器;半成品（中间产品）;1;{};{}
PTQC007;TYQC018;组装;冷却液管道;半成品（中间产品）;1;{};{}
null;DDQC001;null;电动汽车;成品（产品）;1;{};{}
DDQC001;DDQC002;装配;车身;半成品（中间产品）;1;{};{}
DDQC002;TYQC001;焊接;车架;半成品（中间产品）;1;{};{}
DDQC002;TYQC002;焊接;外壳和车身板;半成品（中间产品）;1;{};{}
DDQC001;DDQC003;装配;内部构造;半成品（中间产品）;1;{};{}
DDQC003;TYQC003;组装;传动系统;半成品（中间产品）;1;{};{}
TYQC003;TYQC004;组装;变速器;半成品（中间产品）;1;{};{}
TYQC003;TYQC005;组装;驱动轴;半成品（中间产品）;1;{};{}
DDQC003;TYQC006;组装;制动系统;半成品（中间产品）;1;{};{}
TYQC006;TYQC007;组装;刹车盘;半成品（中间产品）;1;{};{}
TYQC006;TYQC008;组装;刹车垫;半成品（中间产品）;1;{};{}
DDQC003;TYQC009;组装;悬挂系统;半成品（中间产品）;1;{};{}
TYQC009;TYQC010;组装;前悬挂;半成品（中间产品）;1;{};{}
TYQC009;TYQC011;组装;后悬挂;半成品（中间产品）;1;{};{}
DDQC003;TYQC012;组装;轮胎和轮毂;半成品（中间产品）;1;{};{}
DDQC001;DDQC004;装配;电动驱动系统;半成品（中间产品）;1;{};{}
DDQC001;DDQC005;装配;内部设施;半成品（中间产品）;1;{};{}
DDQC005;TYQC013;组装;座椅;半成品（中间产品）;1;{};{}
DDQC005;TYQC014;组装;方向盘;半成品（中间产品）;1;{};{}
DDQC005;TYQC015;组装;仪表板;半成品（中间产品）;1;{};{}
DDQC001;DDQC006;装配;电气系统;半成品（中间产品）;1;{};{}
DDQC006;DDQC008;组装;充电器;半成品（中间产品）;1;{};{}
DDQC006;DDQC009;组装;电池管理系统（BMS）;半成品（中间产品）;1;{};{}
DDQC006;TYQC016;组装;车灯和信号灯;半成品（中间产品）;1;{};{}
DDQC001;DDQC007;装配;冷却系统;半成品（中间产品）;1;{};{}
DDQC007;TYQC017;组装;散热器;半成品（中间产品）;1;{};{}
DDQC007;TYQC018;组装;冷却液管道;半成品（中间产品）;1;{};{}
DDQC001;DDQC010;装配;电动驱动系统;半成品（中间产品）;1;{};{}
DDQC010;DDQC011;组装;电动马达;半成品（中间产品）;1;{};{}
DDQC010;DDQC012;组装;电池组;零部件（原材料）;1;{};{}
DDQC010;DDQC013;组装;电子控制单元（ECU）;半成品（中间产品）;1;{};{}
DDQC010;DDQC014;组装;传感器;半成品（中间产品）;1;{};{}
